family,n_qubits,depth,shots,seed,metric_shannon_norm,metric_mm_norm,metric_renyi2_norm,correlation_zz_01,backend,use_mitigation,timestamp,job_id
haar_like,4,1,4096,0,0.457687940349506,0.4583483537288192,0.2816119367716625,0.163330078125,ibm_fez,True,2025-11-01T20:45:04.343028,d439muto35ts73c7hr6g
haar_like,4,1,4096,1,0.6722967633813095,0.6729571767606227,0.5067396332154251,0.55419921875,ibm_fez,True,2025-11-01T20:45:09.990798,d439n007i53s73e3tb0g
haar_like,4,1,4096,2,0.4867635245236097,0.4874239379029229,0.3565403653300716,0.52783203125,ibm_fez,True,2025-11-01T20:45:16.756280,d439n1hag40c7384le7g
haar_like,4,1,4096,3,0.6007643764320947,0.6014247898114079,0.470117950371027,0.350341796875,ibm_fez,True,2025-11-01T20:45:22.643673,d439n390f7bc73887900
haar_like,4,1,4096,4,0.3689302187703589,0.3694585494738094,0.2737781451953189,0.628662109375,ibm_fez,True,2025-11-01T20:45:29.310428,d439n4to35ts73c7hrf0
haar_like,4,2,4096,0,0.7091853192716872,0.7098457326510004,0.5749921102979052,0.35498046875,ibm_fez,True,2025-11-01T20:45:34.778418,d439n687i53s73e3tb80
haar_like,4,2,4096,1,0.7760106465164192,0.7766710598957324,0.6612461232739913,0.214111328125,ibm_fez,True,2025-11-01T20:45:42.803810,d439n7o7i53s73e3tb9g
haar_like,4,2,4096,2,0.8002051871210241,0.8008656005003373,0.6541709587443421,0.326171875,ibm_fez,True,2025-11-01T20:45:49.996014,d439n9o7i53s73e3tbcg
haar_like,4,2,4096,3,0.7887590686160733,0.7894194819953865,0.7096933435896485,0.3818359375,ibm_fez,True,2025-11-01T20:45:56.977839,d439nbhag40c7384leig
haar_like,4,2,4096,4,0.9522322551816824,0.9528926685609956,0.9185051149116016,0.2275390625,ibm_fez,True,2025-11-01T20:46:02.555432,d439nd9ag40c7384lek0
haar_like,4,3,4096,0,0.7918578127603659,0.7925182261396791,0.7008908907943718,0.34375,ibm_fez,True,2025-11-01T20:46:09.756999,d439neh0f7bc738879dg
haar_like,4,3,4096,1,0.8571991598184943,0.8578595731978075,0.7186154163384632,0.541748046875,ibm_fez,True,2025-11-01T20:46:15.007629,d439nghag40c7384leo0
haar_like,4,3,4096,2,0.8834173002400256,0.8840777136193388,0.8075833083748837,0.088134765625,ibm_fez,True,2025-11-01T20:46:22.779437,d439nhto35ts73c7hrt0
haar_like,4,3,4096,3,0.8180468287064498,0.8187072420857631,0.7206282214662454,0.221923828125,ibm_fez,True,2025-11-01T20:46:28.539691,d439njto35ts73c7hrv0
haar_like,4,3,4096,4,0.902691490961344,0.9033519043406572,0.8551153092186131,0.302734375,ibm_fez,True,2025-11-01T20:46:36.024979,d439nl5o35ts73c7hs10
haar_like,4,4,4096,0,0.90448363398391,0.9051440473632232,0.8339376623971781,0.409912109375,ibm_fez,True,2025-11-01T20:46:41.778772,d439nn5o35ts73c7hs3g
