n_qubits,sample,entropy_raw,entropy_norm,circuit_type,test,renyi_2,renyi_norm,purity,depth,qubit_i,qubit_j,distance,mutual_info,test_type,correlation,shots,error_rate,mitigated,correlation_avg_ones,correlation_zz_norm,mutual_info_approx,norm_theoretical,norm_observed,norm_num_states
4,0,3.452087974408634,0.8630219936021585,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,1,3.043984718683773,0.7609961796709432,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,2,3.3387214316843106,0.8346803579210776,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,3,3.5690229502434234,0.8922557375608559,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,4,3.759068530047663,0.9397671325119158,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,5,3.541487554152979,0.8853718885382448,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,6,3.2052575717500074,0.8013143929375018,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,7,3.2646621967699794,0.8161655491924948,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,8,3.101975027408592,0.775493756852148,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,9,3.5173302434007874,0.8793325608501968,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,10,3.4647351008617586,0.8661837752154397,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,11,3.355751106623348,0.838937776655837,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,12,3.776684437883425,0.9441711094708563,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,13,3.601043735603542,0.9002609339008855,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,14,3.5571086628068995,0.8892771657017249,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,15,3.198171681994232,0.799542920498558,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,16,3.034472123933242,0.7586180309833105,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,17,3.3443733705149064,0.8360933426287266,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,18,3.2953572169411163,0.8238393042352791,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,19,3.618840020927287,0.9047100052318218,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,20,3.6267149482623147,0.9066787370655787,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,21,3.4036675703691506,0.8509168925922876,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,22,3.3936558278664415,0.8484139569666104,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,23,3.1846821247408412,0.7961705311852103,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,24,3.314082934624866,0.8285207336562165,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,25,3.532453645579664,0.883113411394916,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,26,3.3323356018936394,0.8330839004734099,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,27,3.480010164293587,0.8700025410733967,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,28,3.4057007740240453,0.8514251935060113,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,29,3.4926357653965314,0.8731589413491329,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,30,3.5039578311556907,0.8759894577889227,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,31,3.0673346414644613,0.7668336603661153,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,32,3.628493700941344,0.907123425235336,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,33,3.195101532715968,0.798775383178992,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,34,3.8564170568325116,0.9641042642081279,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,35,3.2277661130931303,0.8069415282732826,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,36,3.1123863076991776,0.7780965769247944,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,37,3.5853061331737366,0.8963265332934341,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,38,3.2576149285766838,0.8144037321441709,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,39,3.262453208798931,0.8156133021997327,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,40,3.5867264173322564,0.8966816043330641,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,41,3.448590709836407,0.8621476774591017,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,42,3.5730561207314993,0.8932640301828748,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,43,3.710910681223352,0.927727670305838,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,44,3.5062193429922632,0.8765548357480658,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,45,3.530307808606271,0.8825769521515677,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,46,3.8128686674033547,0.9532171668508387,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,47,3.3101260468267624,0.8275315117066906,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,48,3.3895597714104273,0.8473899428526068,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,49,3.6087897190190112,0.9021974297547528,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,50,3.1053659504602025,0.7763414876150506,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,51,3.339392878516002,0.8348482196290005,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,52,3.371327128482255,0.8428317821205638,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,53,3.379715843080041,0.8449289607700102,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,54,3.533722350364246,0.8834305875910615,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,55,3.603341846440159,0.9008354616100398,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,56,3.494831025145416,0.873707756286354,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,57,3.3345334241936957,0.8336333560484239,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,58,3.403723552188404,0.850930888047101,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,59,3.6203752248331003,0.9050938062082751,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,60,3.5563617680307806,0.8890904420076952,haar_like,test1,,,,,,,,,,,,,,,,,,,
4,61,3.445339917706496,0.861334979426624,haar_like,test1,,,,,,,,,,,,,,,,,,,
